standardized_variable,full_question,notes
abdomen_mass,Did the child have any mass in the abdomen?,NA
abdomen_mass_duration,For how long before death did the child have a mass in the abdomen?,NA
abdomen_mass_unknown,For how long did the child have a mass inside the abdomen? Don't know,NA
abdomen_pain,Did the child have abdominal pain?,NA
abdomen_pain_severe,Was the abdominal pain severe?,NA
abdomen_problem,Did the child have abdominal problems?,NA
abdominal_pain_duration,For how long before death did s/he have severe abdominal pain?,NA
abnormal_size,Was the baby of abnormal size?,NA
abortion,Did the mother recently have a pregnancy that ended in abortion (spontaneous or induced)?,NA
accidentally_poisoned,Was the baby accidentally poisoned (including alcohol)?,NA
account_of_illness,Family account of events around the child's death,NA
admission_problems,Were there any problems during admission to the hospital or health facility?,NA
admitted_to_health_facility,Was the child admitted to a hospital or health facility during the illness?,NA
admitted_to_health_facility_name,"Was the child admitted to a hospital or health facility during the illness? Yes, name of health facility",NA
admitted_to_health_facility_reason,"Was the child admitted to a hospital or health facility during the illness? Yes, reason for admission",NA
age,Age of child,NA
age_days,Age of child in days,NA
age_dhm,"Age of child: Days, Hours, Minutes",NA
age_group,What age group corresponds to the deceased?,NA
age_illness_start,How many years old was the baby when the fatal illness started?,NA
age_months,Age of child in months,NA
age_months_years,"Age of child: Months, Years",NA
age_weeks,Age of child in weeks,NA
age_years,Age of child in years,NA
aids,Did the child suffer from HIV/AIDS? / Was there any diagnosis of HIV/AIDS?,see HIV
amodiaquine,Which antimalarial drug did the baby receive? Amodiaquine,NA
animal,Did the child suffer from an animal or insect bite that led to his/her death?,NA
animal_dog,Was the child bitten/injured by a dog?,NA
animal_insect,Was the child bitten/injured by an insect?,NA
animal_other,"If the child was injured by an animal/insect, what type of animal? Other",NA
animal_snake,Was the child bitten/injured by a snake?,NA
animal_specific,"If the child was injured by an animal/insect, what type of animal?",NA
anti_tb_akala,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Akala",who_2007_2_map and core_2_map
anti_tb_aluor,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Aluor",who_2007_2_map and core_2_map
anti_tb_barolengo,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Barolengo",who_2007_2_map and core_2_map
anti_tb_bondodh,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Bondo DH",who_2007_2_map and core_2_map
anti_tb_gongohc,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Gongo HC",who_2007_2_map and core_2_map
anti_tb_kotieno,"If the child received anti TB medication, at which health facility did the child collect TB drugs? K Otieno",who_2007_2_map and core_2_map
anti_tb_lwak,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Lwak",who_2007_2_map and core_2_map
anti_tb_ndori,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ndori",who_2007_2_map and core_2_map
anti_tb_ngiya,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ng'iya",who_2007_2_map and core_2_map
anti_tb_njenjra,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Nejra",who_2007_2_map and core_2_map
anti_tb_nyathengo,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Nyathengo",who_2007_2_map and core_2_map
anti_tb_nyawara,For how long before death did the child have severe abdominal pain?,who_2007_2_map and core_2_map
anti_tb_rera,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Rera",who_2007_2_map and core_2_map
anti_tb_siaya,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Siaya Medical",who_2007_2_map and core_2_map
anti_tb_siayadh,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Siaya DH",who_2007_2_map and core_2_map
anti_tb_tingwangi,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Ting'-Wangi",who_2007_2_map and core_2_map
anti_tb_wagai,"If the child received anti TB medication, at which health facility did the child collect TB drugs? Wagai",who_2007_2_map and core_2_map
antibiotics,Did the child receive (or need) injectable antibiotics?,NA
antiretroviral,Did the child receive (or need) antiretroviral therapy (ART)?,NA
anyone_else_should_interview,Is there anyone else that should be interviewed?,NA
anyone_else_should_interview_specific,Is there anyone else that should be interviewed? Specific,NA
anything_applied_to_umbilical_stump,Was anything applied to the umbilical cord stump after birth?,NA
anything_applied_to_umbilical_stump_specific,Was anything applied to the umbilical cord stump after birth? Specific,NA
appear_healthy,Did the child appear healthy and then just die suddenly?,NA
appropriate_respondent,Have you (the interviewer) found the appropriate respondent?,NA
arms_legs_strength,Did the baby's arms/legs have strength?,NA
artesenate,Which antimalarial drug did the baby receive? Artesenate,NA
assault,"Was the child subject to violence (homicide, abuse)?",NA
assisted_breathing,Was the baby given assistance to breathe at birth?,NA
asthma,Did the child suffer from asthma?,NA
attempt_terminate_pregnancy,Did the mother attempt to terminate the pregnancy?,NA
availability,Respondent availability,NA
baby_breathe,Did the baby ever breathe?,NA
baby_breathe_after_birth,"Did the baby breathe immediately after birth, even a little?",NA
baby_breathing_problem,Did the baby have any breathing problem?,NA
baby_cry,Did the baby ever cry?,NA
baby_cry_after_birth,"Did the baby ever cry after birth, even if only a little bit?",NA
baby_move,Did the baby ever move?,NA
baby_size,Size of baby at time of birth,NA
baby_stop_moving,Did the baby stop moving in the womb?,NA
bcg,Note vaccines the child has received: BCG,"Gambia, WHO2016"
become_unresponsive,Did the baby become unresponsive or unconscious soon after birth?,WHO2012_map; see unresponsive_within_24_hours
between_convulsions,What was the state of the child between convulsions/fits?,NA
big_size,"Was the baby larger than normal, weighing over 4.5 kg?",NA
birth_date_known,Is the child's birth date known?,NA
birth_health_facility,Was the child born in a health facility?,NA
birth_healthy_baby_within_6_weeks_of_death,"Did the mother give birth to a live, healthy baby within 6 weeks of death?",NA
birth_home,Was the child born at home?,NA
birth_order,The birth order of the child that died,NA
birth_other_location,Was the child born somewhere else?,NA
birth_weight,What was the child's weight at birth?,NA
birth_weight_grams,What was the child's weight at birth in grams?,NA
birth_yellow_palms_soles,Did the baby have yellow palms or soles?,NA
black_vomit,Was the vomit black?,NA
bleed,"During the illness that led to death, did the child bleed from anywhere?",NA
bleed_nose_mouth_anus,"Did the child bleed from the nose, mouth, or anus?",NA
bleed_specific,"During the illness that led to death, did she bleed from anywhere? Specific",NA
blood_transfusion,Did the child receive (or need) a blood transfusion?,NA
bloody_stool,At any time during the final illness was there blood in the stool?,NA
bloody_stool_until_death,"If there was blood in the stool, did it continue until death?",NA
bloody_vomit,Was the vomit bloody?,NA
blue_colour,Was the baby blue in colour at birth?,NA
blunt_force,Was the child injured by a blunt force?,NA
body_soft_discolored,"Was the baby's body soft, pulpy and discolored and the skin peeling away?",NA
born_24_hours_after_water_broke,Was the baby born 24 hours or more after the water broke?,NA
born_dead,"If the baby did not cry or breathe, was it born dead?",NA
breastfeed_exclusive,Was the breastfeeding exclusive?,NA
breathing_problem,"During the illness that led to death, did the child have a breathing problem?",NA
breathing_sound,During the illness that led to death did his/her breathing sound like any of the following,"See noisy_breathing, wheezing"
breathless_lying_flat,Was the child breathless while lying flat?,NA
breathlessness,Did the child have breathlessness?,NA
breathlessness_duration,Duration of breathlessness,NA
breathlessness_unknown,For how long did the child have breathlessness? Don't know,NA
breeched,"Did the baby's bottom, feet, arm or hand come into the vagina before its head?",NA
bruises_injury,Were there any bruises or signs of injury on baby's body after the birth?,NA
bulging_fontanelle,"During the illness that led to death, did the baby have a bulging or raised fontanelle?",NA
burial_permit,Was a burial permit issued?,NA
burial_permit_available,Can I see the burial permit?,NA
burn,Did the child suffer from burns?,NA
caesarean,Was baby delivered by caesarean section?,NA
cancer,Did the child suffer from cancer?,NA
cancer_type,What type of cancer did the child have?,NA
cancer_type_specific,Specify other type of cancer,NA
cause_death,Cause of death according to health care worker,NA
cause_death_1,Cause of death from the first line of the death certificate,NA
cause_death_1_duration,"Cause of death from the first line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_2,Cause of death from the second line of the death certificate,NA
cause_death_2_duration,"Cause of death from the second line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_3,Cause of death from the third line of the death certificate,NA
cause_death_3_duration,"Cause of death from the third line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_4,Cause of death from the fourth line of the death certificate,NA
cause_death_4_duration,"Cause of death from the fourth line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_5,Cause of death from the fifth line of the death certificate,NA
cause_death_5_duration,"Cause of death from the fifth line of the death certificate, duration","from c2016_map.csv, champs2_map.csv, n2016_map.csv"
cause_death_certificate,Cause of death on death certificate,NA
cause_death_certificate_duration,"Cause of death on death certificate, duration",NA
cause_death_no_evidence,No documentation of evidence for cause of death,NA
cause_death_respondent_account,What respondent think was cause of child's death,NA
cause_death_told,What was the cause of the child's death told by the nurse/doctor at health facility,NA
cause_death1,Cause of death according to the respondent,NA
cause_death2,Cause of death 2 according to the respondent,NA
chest_infections,Did the child have repeated chest infections?,NA
chest_pain,Did the child have chest pain?,NA
chest_pain_severe,Was the chest pain severe?,NA
chest_pull_in,"During the illness that led to death, did the child have indrawing of the chest?",NA
child_age_under_1,Is the child under 1 year of age?,NA
child_arv,"If mother had HIV, did the child receive ARV within 3 days of birth?",NA
child_visit_clinic,Did you ever take the child to the clinic?,NA
chills,Did the child have chills or rigor?,NA
chloroquine_malaraquin,Which antimalarial drug did the baby receive? Chloroquine/malariaquin,NA
chronic_illness,Did the child have an ongoing chronic illness or was he/she sick in the month before the accident or injury?,NA
chronic_illness_specific,Specify type of chronic illness,NA
chronic_obstructive_pulmonary_disease,Was there any diagnosis of Chronic Obstructive Pulmonary Disease (COPD)?,NA
citizenship_nationality,What was the child's citizenship/nationality?,NA
civil_registration_needed,Is there a need to collect civil registration numbers on the deceased?,NA
coartem,Which antimalarial drug did the baby receive? Coartem,NA
cold_touch,Did the baby become cold to the touch before it died?,NA
comments,Interviewer comments,NA
complications_labour_delivery,Were there complications during the labour/delivery?,NA
complications_other,What type of complications were in during the delivery? Other,NA
complications_other_2,What type of complications were in during the delivery? Other 2,NA
complications_specific,What type of complications were in during the delivery?,NA
consent_interview,Does the respondent consent to being interviewed?,NA
contacts_w_health_facility_before_death,"In the month before death, how many contacts with formal health services did the child receive?",NA
convulsions,Did the child have any fits or convulsions during the illness that led to his/her death?,NA
convulsions_after_24_hours,Did the baby have convulsions starting more than 24 hours after birth?,NA
convulsions_unconscious,Did the child become unconscious immediately after the convulsion?,NA
convulsions_unknown,How long did the convulsions/fits last? Don't know,NA
convulsions_within_24_hours,Did the baby have convulsions within the first 24 hours of life?,NA
cough,Did the child have a cough?,NA
cough_blood,Did the child cough up blood?,NA
cough_duration,How long did the cough last?,NA
cough_productive,"Was the cough productive, with sputum?",NA
cough_severe,Was the cough very severe?,NA
cough_type,"If the child had a cough, specify the type of cough.",NA
cough_unknown,For how long did the child have a cough? Don't know,NA
cough_vomit,Did the child vomit after s/he coughed?,NA
counterpart_bus,Was the counterpart that was hit a bus?,NA
counterpart_car,Was the counterpart that was hit a car?,NA
counterpart_injury_known,Do you know anything about the counterpart that was hit during the road traffic accident?,NA
counterpart_motorcycle,Was the counterpart that was hit a motorcycle?,NA
counterpart_other,Was the counterpart that was hit something else?,NA
counterpart_pedal_cycle,Was the counterpart that was hit a pedal cycle?,NA
counterpart_pedestrian,Was the counterpart that was hit a pedestrian?,NA
counterpart_stationary_object,Was the counterpart that was hit a stationary object?,NA
counterpart_traffic_accident,What was the counterpart that was hit during the road traffic accident?,NA
counterpart_traffic_accident_specific,What was the counterpart that was hit during the road traffic accident? Specific,NA
cry_after_birth,"Did the child cry after birth, even a little?",NA
date_birth_deceased,Date of birth of deceased,NA
date_birth_known,Is the date of birth known?,NA
date_death_deceased,Date of death of deceased,NA
date_death_known,Is the child's date of death known?,NA
date_marriage,Date of marriage,NA
days_abdomen_mass,Days child had abdomen mass,NA
days_abdomen_pain,Days child had abdomen pain,NA
days_abdomen_problem,Days child had problems with the abdomen,NA
days_after_birth_diarrhea,How many days after birth did the child have diarrhea?,NA
days_after_birth_yellow_palms_soles,How many days after birth did the yellow palms or soles begin?,NA
days_after_birth_yellow_skin,Days after birth skin turned yellow colour,NA
days_after_illness_seek_care_health_facility,How many days after the illness started was care at a medical facility sought?,NA
days_before_death_not_breastfed,How many days before death was the child not breastfed?,NA
days_bloody_vomit,Days child had bloody vomit,NA
days_breathlessness,Days child had breathlessness,NA
days_bulging_fontanelle,Days child had a bulging fontanelle,NA
days_chest_infections,Days child had a chest infection,NA
days_chest_pain,Days child had chest pain,NA
days_chest_pull_in,Days the child had indrawing of chest,NA
days_cold_touch,Days child felt cold to the touch,NA
days_convulsions,Days child had convulsions,NA
days_convulsions_start,How soon after birth did the convulsions start?,NA
days_cough,Days child had a cough,NA
days_diarrhea,Days child had diarrhea,NA
days_diarrhea_start,How many days after birth did the baby have diarrhea?,NA
days_difficulty_breathing,Days child had difficulty breathing,NA
days_difficulty_swallowing,Days child had difficulty breathing,NA
days_fast_breathing,Days child had fast breathing,NA
days_fever,Days child had a fever,NA
days_fits,Days the child had fits,NA
days_hair_red_yellow,Days the child had reddish or yellowish hair,NA
days_headache,Days child had a headache,NA
days_ill_before_death,Days the child was ill before his/her death,NA
days_lumps,Days the child had lumps on the body,NA
days_measles,Days the child had measles,NA
days_mental_confusion,Days the child had mental confusion,NA
days_months_cough_unknown,For how long did the child have a cough? Don't know,NA
days_months_difficulty_breathing_unknown,For how long did the child have difficulty breathing? Don't know,NA
days_mother_die,How many days after delivery did the mother die?,NA
days_night_sweats,Days the child had night sweats,NA
days_old_illness_start,How many days old was the child when the illness started?,NA
days_operation_before_death,How long before death did the child have an operation? Days,NA
days_painful_neck,Days child had a painful neck,NA
days_pale,Days the child looked pale,NA
days_paralysis_lower_limb,Days the child had paralysis of the lower limbs,NA
days_paralyzed,Days the child was paralyzed,NA
days_premature,Days the child was born premature,NA
days_protruding_abdomen,Days the child had a protruding abdomen,NA
days_puffiness_of_face,Days the child had a puffy face,NA
days_rash,Days the child had a rash,NA
days_rash_mouth,Days the child had a rash in/on the mouth,NA
days_seek_care_after_illness_start,Days after the illness started care at a medical facility was sought,NA
days_stiff,Days the child had a stiff body,NA
days_stiff_neck,Days the child had a stiff neck,NA
days_stop_moving,How many days before labour did you or the mother last feel the baby move?,NA
days_stop_suckle,How many days after birth did the baby stop suckling?,NA
days_suckle_feed,How soon after birth did the child suckle or bottle feed?,NA
days_sunken_eye,Days the child had sunken eyes,NA
days_swell,Days the child's swelling lasted,NA
days_swell_body,Days the child's body was swollen,NA
days_swell_face,Days the child's face was swollen,NA
days_swell_feet,Days the child's feet were swollen,NA
days_swell_joints,Days the child's joints were swollen,NA
days_swell_leg,Days the child's leg(s) were swollen,NA
days_ulcer_foot_pus,Days the child's ulcer on the foot oozed pus,NA
days_unconscious,Days the child was unconscious before his/her death,NA
days_unresponsive,Days the child was unresponsive,NA
days_unusually_sleepy,Days the child was unusually sleep,NA
days_urine_blood,Days the child had blood in his/her urine,NA
days_urine_change,Days the child had change in the amount of urine s/he passed daily,NA
days_urine_problems,Days the child had urine problems,NA
days_vomit,Days the child vomited,NA
days_weeks_abdomen_mass,Days or weeks (the child had an abdomen mass),NA
days_weeks_abdominal_pain,Days or weeks (the child had abdominal pain),NA
days_weeks_breathlessness,Days or weeks (the child experienced breathlessness),NA
days_weeks_cough,Days or weeks (the child had a cough),NA
days_weeks_diarrhea,Days or weeks (the child had diarrhea),NA
days_weeks_fast_breathing,Days or weeks (the child had fast breathing),NA
days_weeks_fever,Days or weeks (the child had a fever),NA
days_weeks_mental_confusion,Days or weeks (the child experienced mental confusion),NA
days_weeks_months,"Days, Weeks, or Months",NA
days_weeks_protruding_abdomen,Days or weeks (the child had a protruding abdomen),NA
days_weeks_rash,Days or weeks (the child had a rash),NA
days_weeks_stiff_neck,Days or weeks (the child had a stiff neck),NA
days_weight_loss,Days the child experienced weight loss,NA
days_yellow_eyes,Days the child had yellow discoloration of the eyes,NA
days_yellow_palms_soles,Days the child had yellow palms or soles,NA
days_yellow_skin,Days the child's skin turned yellow,NA
death_cause_burial_permit,Is the cause of death written on the burial permit?,NA
death_cause_on_permit,Cause of death written on burial permit,NA
death_cause_on_permit_specific,"Cause of death written on burial permit, specific",NA
death_cause_on_permit_specific1,"Cause of death 1 written on burial permit, specific",NA
death_cause_on_permit_specific2,"Cause of death 2 written on burial permit, specific",NA
death_cause_on_permit_specific3,"Cause of death 3 written on burial permit, specific",NA
death_cause_on_permit_specific4,"Cause of death 4 written on burial permit, specific",NA
death_cause_on_post_mortem,Was the cause of death revealed to you or written on the PM report?,NA
death_certificate,Was a death certificate issued?,NA
death_certificate_date_death,Date of death on death certificate,NA
death_certificate_issue_date,What day was the death certificate issued?,NA
death_certificate_issued,Was a death certificate issued?,NA
death_registration_date,Date of death registration,NA
death_registration_number,Death registration number,NA
death_registration_place,Place of death registration,NA
death_registration_place_specific,"Place of death registration, specific.",NA
deceased_adult,Deceased is an adult,NA
deceased_child,Deceased is a child,NA
deceased_job,Deceased's job,NA
deceased_job_specific,"Deceased's job, specific",NA
deceased_national_id,Deceased national identification number,NA
deceased_neonatal,Deceased is a neonate,NA
deceased_return_study_because_sick,Deceased returned to study area because he/she was sick,NA
dehydrated,Was the child dehydrated when he/she had diarrhea?,NA
dementia,Was there any diagnosis by a health professional of dementia?,NA
dengue,Was there any diagnosis by a health professional of dengue fever?,NA
depression,Was there any diagnosis by a health professional of depression?,NA
diabetes,Did the child suffer from diabetes?,NA
diarrhea,Did the child have more frequent loose or liquid stools than usual? / Did the child have diarrhea?,NA
diarrhea_bloody,What was the most common aspect of the stool? Bloody,NA
diarrhea_clear_watery,What was the most common aspect of the stool? Clear watery,NA
diarrhea_continue,Did the diarrhea continue until death?,NA
diarrhea_duration,For how long did the child have diarrhea?,NA
diarrhea_duration_unknown,For how long did s/he have diarrhea? Don't know,NA
diarrhea_given_ors,During the diarrheal episode was the child given any fluids such as ORS?,NA
diarrhea_lack_fluid,Do you think the child was lacking fluids when she was having diarrhea?,NA
diarrhea_opaque_watery,What was the most common aspect of the stool? Opaque watery,NA
diarrhea_sticky,What was the most common aspect of the stool? Sticky/mucoid,NA
diarrhea_stool_consistency,"If the child had diarrhea, what was the most common aspect of the stool?",NA
diarrhea_sunken_eyes,Did the child have sunken eyes when she was ill with diarrhea?,NA
diarrhea_thick_liquid,What was the most common aspect of the stool? Thick liquid,NA
diarrhea_unknown,What was the most common aspect of the stool? Don't know,NA
diarrhea_wrinkled_skin,Did the child have wrinkled skin when s/he was ill with diarrhea?,NA
die_at_site_of_injury_accident,Did the child die at the site of the injury/accident?,NA
die_breastfeeding,Was the mother breastfeeding at death?,NA
die_during_labour_undelivered,"Did the mother die during labour, but undelivered?",NA
die_multiple_pregnancy,Did the mother die during or after a multiple pregnancy?,NA
die_suddenly,Did the child die suddenly?,NA
die_within_24_hours_delivery,Did the mother die within 24 hours after delivery?,NA
die_within_6_weeks_birth,Did the mother die within 6 weeks of giving birth?,NA
die_within_6_weeks_of_pregnancy_6_months,Did the mother die within 6 weeks of a pregnancy that lasted less than 6 months?,NA
died_dry_season,Did the child die during dry season?,see season
died_wet_season,Did the child die during wet season?,NA
difficulty_breathing,Did the child have difficulty breathing?,NA
difficulty_breathing_frequency,Was the difficulty breathing continuous or on and off?,NA
difficulty_swallowing,Did the child have difficulty swallowing?,NA
discharge_info,Hospital discharge information,NA
discharged_ill,Was the child discharged from hospital very ill?,NA
distention_development,"If the child had abdominal distention, did it start suddenly or gradually?",NA
doses_mother_vaccinations,How many doses of vaccinations did the mother receive?,NA
doubt_medical_care,"In the final days before death, were there any doubts about whether medical care was needed?",NA
dpt_booster,Note vaccines the child has received: DPT Booster,"Gambia, WHO2016"
drink_more,Did the child drink a lot more water than usual?,NA
drown,Did the child die of drowning?,NA
drugs_given_for_illness,List of drugs child was given for the illness that lead to death,NA
duration_heart_disease,Duration the child suffered from heart disease,NA
duration_pregnancy,Duration of the pregnancy,NA
duration_pregnancy_months,Duration of the pregnancy in months,NA
duration_pregnancy_unknown,How long was the pregnancy? Don't know,NA
duration_pregnancy_weeks,Duration of the pregnancy in weeks,NA
electrocution,Was the child electrocuted?,NA
epi_vaccines,Select EPI vaccines done,NA
epilepsy,Did the child suffer from epilepsy?,NA
ethnicity,What was his/her ethnicity?,NA
ethnicity_other,"Ethnicity, other",NA
facility_name,What was the name of the health facility?,NA
